player,gameweek,away_team,home_team,results_home_goals,results_away_goals,predictions_home_goals,predictions_away_goals
mark lawrenson,20,southampton,tottenham,5,2,2,0
mark lawrenson,20,leicester,watford,2,1,1,2
mark lawrenson,20,everton,west brom,0,0,1,0
mark lawrenson,21,everton,bournemouth,2,1,2,0
mark lawrenson,21,stoke,chelsea,5,0,3,0
mark lawrenson,21,man city,crystal palace,0,0,0,3
mark lawrenson,21,burnley,huddersfield,0,0,1,0
mark lawrenson,21,leicester,liverpool,2,1,2,0
mark lawrenson,21,southampton,man utd,0,0,2,0
mark lawrenson,21,brighton,newcastle,0,0,1,1
mark lawrenson,21,swansea,watford,1,2,2,0
mark lawrenson,21,arsenal,west brom,1,1,2,1
mark lawrenson,22,chelsea,arsenal,2,2,2,1
mark lawrenson,22,bournemouth,brighton,2,2,1,1
mark lawrenson,22,liverpool,burnley,1,2,0,2
mark lawrenson,22,man utd,everton,0,2,0,2
mark lawrenson,22,huddersfield,leicester,3,0,2,0
mark lawrenson,22,watford,man city,3,1,4,0
mark lawrenson,22,crystal palace,southampton,1,2,1,0
mark lawrenson,22,newcastle,stoke,0,1,2,1
mark lawrenson,22,tottenham,swansea,0,2,0,3
mark lawrenson,22,west brom,west ham,2,1,1,1
mark lawrenson,22,west ham,tottenham,1,1,9,9
mark lawrenson,23,arsenal,bournemouth,2,1,1,1
mark lawrenson,23,leicester,chelsea,0,0,2,0
mark lawrenson,23,burnley,crystal palace,1,0,1,2
mark lawrenson,23,west ham,huddersfield,1,4,1,1
mark lawrenson,23,man city,liverpool,4,3,1,1
mark lawrenson,23,stoke,man utd,3,0,2,0
mark lawrenson,23,swansea,newcastle,1,1,2,0
mark lawrenson,23,everton,tottenham,4,0,2,0
mark lawrenson,23,southampton,watford,2,2,1,1
mark lawrenson,23,brighton,west brom,2,0,1,0
mark lawrenson,24,crystal palace,arsenal,4,1,2,0
mark lawrenson,24,chelsea,brighton,0,4,1,1
mark lawrenson,24,man utd,burnley,0,1,0,2
mark lawrenson,24,west brom,everton,1,1,1,1
mark lawrenson,24,watford,leicester,2,0,2,0
mark lawrenson,24,newcastle,man city,3,1,3,0
mark lawrenson,24,tottenham,southampton,1,1,0,2
mark lawrenson,24,huddersfield,stoke,2,0,2,0
mark lawrenson,24,liverpool,swansea,1,0,0,2
mark lawrenson,24,bournemouth,west ham,1,1,2,0
mark lawrenson,25,liverpool,huddersfield,0,3,1,1
mark lawrenson,25,arsenal,swansea,3,1,0,2
mark lawrenson,25,crystal palace,west ham,1,1,1,1
mark lawrenson,25,bournemouth,chelsea,0,3,2,0
mark lawrenson,25,leicester,everton,2,1,0,2
mark lawrenson,25,west brom,man city,3,0,3,0
mark lawrenson,25,burnley,newcastle,1,1,1,1
mark lawrenson,25,brighton,southampton,1,1,2,0
mark lawrenson,25,watford,stoke,0,0,2,1
mark lawrenson,25,man utd,tottenham,2,0,2,1
mark lawrenson,26,stoke,bournemouth,2,1,1,1
mark lawrenson,26,everton,arsenal,5,1,2,0
mark lawrenson,26,west ham,brighton,3,1,2,1
mark lawrenson,26,man city,burnley,1,1,0,2
mark lawrenson,26,newcastle,crystal palace,1,1,2,0
mark lawrenson,26,swansea,leicester,1,1,2,0
mark lawrenson,26,tottenham,liverpool,2,2,1,1
mark lawrenson,26,huddersfield,man utd,2,0,2,0
mark lawrenson,26,chelsea,watford,4,1,0,2
mark lawrenson,26,southampton,west brom,2,3,2,1
mark lawrenson,27,west brom,chelsea,3,0,2,0
mark lawrenson,27,crystal palace,everton,3,1,2,1
mark lawrenson,27,bournemouth,huddersfield,4,1,1,1
mark lawrenson,27,leicester,man city,5,1,2,0
mark lawrenson,27,man utd,newcastle,1,0,0,2
mark lawrenson,27,liverpool,southampton,0,2,1,1
mark lawrenson,27,brighton,stoke,1,1,1,1
mark lawrenson,27,burnley,swansea,1,0,0,2
mark lawrenson,27,arsenal,tottenham,1,0,2,0
mark lawrenson,27,watford,west ham,2,0,1,0
mark lawrenson,28,newcastle,bournemouth,2,2,1,1
mark lawrenson,28,man city,arsenal,0,3,0,2
mark lawrenson,28,swansea,brighton,4,1,1,1
mark lawrenson,28,southampton,burnley,1,1,2,1
mark lawrenson,28,tottenham,crystal palace,0,1,0,2
mark lawrenson,28,stoke,leicester,1,1,2,0
mark lawrenson,28,west ham,liverpool,4,1,3,0
mark lawrenson,28,chelsea,man utd,2,1,2,0
mark lawrenson,28,everton,watford,1,0,1,1
mark lawrenson,28,huddersfield,west brom,1,2,2,0
mark lawrenson,29,arsenal,brighton,2,1,1,1
mark lawrenson,29,everton,burnley,2,1,1,1
mark lawrenson,29,man utd,crystal palace,2,3,0,2
mark lawrenson,29,bournemouth,leicester,1,1,2,0
mark lawrenson,29,newcastle,liverpool,2,0,2,0
mark lawrenson,29,chelsea,man city,1,0,2,0
mark lawrenson,29,stoke,southampton,0,0,2,0
mark lawrenson,29,west ham,swansea,4,1,1,1
mark lawrenson,29,huddersfield,tottenham,2,0,2,0
mark lawrenson,29,west brom,watford,1,0,2,1
mark lawrenson,30,tottenham,bournemouth,1,4,0,2
mark lawrenson,30,watford,arsenal,3,0,3,0
mark lawrenson,30,crystal palace,chelsea,2,1,2,0
mark lawrenson,30,brighton,everton,2,0,2,0
mark lawrenson,30,swansea,huddersfield,0,0,1,1
mark lawrenson,30,liverpool,man utd,2,1,1,1
mark lawrenson,30,southampton,newcastle,3,0,2,1
mark lawrenson,30,man city,stoke,0,2,0,2
mark lawrenson,30,leicester,west brom,1,4,0,2
mark lawrenson,30,burnley,west ham,0,3,1,1
mark lawrenson,31,west brom,bournemouth,2,1,2,1
mark lawrenson,31,chelsea,burnley,1,2,1,1
mark lawrenson,31,crystal palace,huddersfield,0,2,1,1
mark lawrenson,31,watford,liverpool,5,0,2,0
mark lawrenson,31,everton,stoke,1,2,1,1
mark lawrenson,32,stoke,arsenal,3,0,3,0
mark lawrenson,32,leicester,brighton,0,2,1,1
mark lawrenson,32,tottenham,chelsea,1,3,2,0
mark lawrenson,32,liverpool,crystal palace,1,2,1,1
mark lawrenson,32,man city,everton,1,3,0,2
mark lawrenson,32,swansea,man utd,2,0,2,0
mark lawrenson,32,huddersfield,newcastle,1,0,2,0
mark lawrenson,32,southampton,west ham,3,0,2,1
mark lawrenson,32,bournemouth,watford,2,2,1,2
mark lawrenson,32,burnley,west brom,1,2,1,1
mark lawrenson,33,crystal palace,bournemouth,2,2,2,1
mark lawrenson,33,southampton,arsenal,3,2,2,0
mark lawrenson,33,huddersfield,brighton,1,1,2,0
mark lawrenson,33,west ham,chelsea,1,1,2,0
mark lawrenson,33,liverpool,everton,0,0,1,1
mark lawrenson,33,newcastle,leicester,1,2,2,0
mark lawrenson,33,man utd,man city,2,3,1,1
mark lawrenson,33,tottenham,stoke,1,2,0,2
mark lawrenson,33,burnley,watford,1,2,1,2
mark lawrenson,33,swansea,west brom,1,1,2,1
mark lawrenson,34,leicester,burnley,2,1,2,1
mark lawrenson,34,brighton,crystal palace,3,2,2,1
mark lawrenson,34,watford,huddersfield,1,0,1,1
mark lawrenson,34,bournemouth,liverpool,3,0,2,0
mark lawrenson,34,west brom,man utd,0,1,3,0
mark lawrenson,34,arsenal,newcastle,2,1,1,1
mark lawrenson,34,chelsea,southampton,2,3,1,1
mark lawrenson,34,everton,swansea,1,1,1,1
mark lawrenson,34,man city,tottenham,1,3,1,1
mark lawrenson,34,stoke,west ham,1,1,2,0
mark lawrenson,35,man utd,bournemouth,0,2,0,2
mark lawrenson,35,west ham,arsenal,4,1,2,0
mark lawrenson,35,tottenham,brighton,1,1,2,1
mark lawrenson,35,newcastle,everton,1,0,2,1
mark lawrenson,35,southampton,leicester,0,0,2,0
mark lawrenson,35,swansea,man city,5,0,3,0
mark lawrenson,35,burnley,stoke,1,1,1,1
mark lawrenson,35,crystal palace,watford,0,0,1,2
mark lawrenson,35,liverpool,west brom,2,2,1,1
mark lawrenson,36,brighton,burnley,0,0,2,0
mark lawrenson,36,leicester,crystal palace,5,0,1,1
mark lawrenson,36,everton,huddersfield,0,2,1,0
mark lawrenson,36,stoke,liverpool,0,0,2,0
mark lawrenson,36,arsenal,man utd,2,1,2,0
mark lawrenson,36,west brom,newcastle,0,1,2,0
mark lawrenson,36,bournemouth,southampton,2,1,2,1
mark lawrenson,36,chelsea,swansea,0,1,0,2
mark lawrenson,36,watford,tottenham,2,0,2,0
mark lawrenson,36,man city,west ham,1,4,0,2
