player,gameweek,away_team,home_team,results_home_goals,results_away_goals,predictions_home_goals,predictions_away_goals
paul merson,12,man city,leicester,0,2,1,3
paul merson,12,southampton,liverpool,3,0,1,0
paul merson,12,newcastle,man utd,4,1,2,0
paul merson,12,west ham,watford,2,0,1,1
paul merson,12,chelsea,west brom,0,4,1,2
paul merson,13,arsenal,burnley,0,1,1,3
paul merson,13,stoke,crystal palace,2,1,2,1
paul merson,13,man city,huddersfield,1,2,0,4
paul merson,13,chelsea,liverpool,1,1,1,1
paul merson,13,brighton,man utd,1,0,3,0
paul merson,13,watford,newcastle,0,3,1,2
paul merson,13,everton,southampton,4,1,1,1
paul merson,13,bournemouth,swansea,0,0,0,2
paul merson,13,west brom,tottenham,1,1,3,0
paul merson,13,leicester,west ham,1,1,1,3
paul merson,14,burnley,bournemouth,1,2,2,0
paul merson,14,huddersfield,arsenal,5,0,3,0
paul merson,14,crystal palace,brighton,0,0,1,1
paul merson,14,tottenham,leicester,2,1,1,1
paul merson,14,man utd,watford,2,4,1,1
paul merson,14,newcastle,west brom,2,2,2,0
paul merson,14,swansea,chelsea,1,0,4,0
paul merson,14,west ham,everton,4,0,2,0
paul merson,14,southampton,man city,2,1,3,0
paul merson,14,liverpool,stoke,0,3,1,3
paul merson,15,southampton,bournemouth,1,1,1,2
paul merson,15,man utd,arsenal,1,3,2,1
paul merson,15,liverpool,brighton,1,5,0,2
paul merson,15,newcastle,chelsea,3,1,3,0
paul merson,15,huddersfield,everton,2,0,2,0
paul merson,15,burnley,leicester,1,0,2,1
paul merson,15,west ham,man city,2,1,4,0
paul merson,15,swansea,stoke,2,1,1,0
paul merson,15,tottenham,watford,1,1,1,3
paul merson,15,crystal palace,west brom,0,0,1,2
paul merson,16,watford,burnley,1,0,1,0
paul merson,16,bournemouth,crystal palace,2,2,2,1
paul merson,16,brighton,huddersfield,2,0,1,1
paul merson,16,everton,liverpool,1,1,2,0
paul merson,16,man city,man utd,1,2,2,2
paul merson,16,leicester,newcastle,2,3,1,2
paul merson,16,arsenal,southampton,1,1,1,3
paul merson,16,west brom,swansea,1,0,1,0
paul merson,16,stoke,tottenham,5,1,3,0
paul merson,16,chelsea,west ham,1,0,1,3
paul merson,17,stoke,burnley,1,0,2,0
paul merson,17,watford,crystal palace,2,1,1,2
paul merson,17,chelsea,huddersfield,1,3,0,2
paul merson,17,bournemouth,man utd,1,0,3,1
paul merson,17,man city,swansea,0,4,0,3
paul merson,17,arsenal,west ham,0,0,1,3
paul merson,17,west brom,liverpool,0,0,3,0
paul merson,17,everton,newcastle,0,1,1,1
paul merson,17,leicester,southampton,1,4,2,2
paul merson,17,brighton,tottenham,2,0,4,0
paul merson,18,liverpool,bournemouth,0,4,1,3
paul merson,18,newcastle,arsenal,1,0,4,0
paul merson,18,burnley,brighton,0,0,1,2
paul merson,18,southampton,chelsea,1,0,3,0
paul merson,18,swansea,everton,3,1,2,0
paul merson,18,crystal palace,leicester,0,3,2,1
paul merson,18,tottenham,man city,4,1,3,1
paul merson,18,west ham,stoke,0,3,1,0
paul merson,18,huddersfield,watford,1,4,2,0
paul merson,18,man utd,west brom,1,2,0,2
paul merson,19,liverpool,arsenal,3,3,2,1
paul merson,19,watford,brighton,1,0,2,0
paul merson,19,tottenham,burnley,0,3,1,3
paul merson,19,chelsea,everton,0,0,0,3
paul merson,19,man utd,leicester,2,2,0,2
paul merson,19,bournemouth,man city,4,0,2,0
paul merson,19,huddersfield,southampton,1,1,2,0
paul merson,19,west brom,stoke,3,1,1,1
paul merson,19,crystal palace,swansea,1,1,0,3
paul merson,19,newcastle,west ham,2,3,2,0
paul merson,20,west ham,bournemouth,3,3,2,1
paul merson,20,brighton,chelsea,2,0,3,0
paul merson,20,arsenal,crystal palace,2,3,2,3
paul merson,20,stoke,huddersfield,1,1,2,0
paul merson,20,swansea,liverpool,5,0,4,0
paul merson,20,burnley,man utd,2,2,4,0
paul merson,20,man city,newcastle,0,1,0,4
paul merson,20,southampton,tottenham,5,2,3,0
paul merson,20,leicester,watford,2,1,1,2
paul merson,20,everton,west brom,0,0,1,2
paul merson,21,everton,bournemouth,2,1,1,0
paul merson,21,stoke,chelsea,5,0,3,0
paul merson,21,man city,crystal palace,0,0,1,5
paul merson,21,burnley,huddersfield,0,0,2,1
paul merson,21,leicester,liverpool,2,1,4,1
paul merson,21,southampton,man utd,0,0,4,0
paul merson,21,brighton,newcastle,0,0,2,1
paul merson,21,swansea,watford,1,2,3,0
paul merson,21,arsenal,west brom,1,1,1,3
paul merson,22,chelsea,arsenal,2,2,1,3
paul merson,22,bournemouth,brighton,2,2,1,1
paul merson,22,liverpool,burnley,1,2,0,2
paul merson,22,man utd,everton,0,2,0,1
paul merson,22,huddersfield,leicester,3,0,3,1
paul merson,22,watford,man city,3,1,4,0
paul merson,22,crystal palace,southampton,1,2,0,2
paul merson,22,newcastle,stoke,0,1,2,0
paul merson,22,tottenham,swansea,0,2,0,3
paul merson,22,west brom,west ham,2,1,2,1
paul merson,22,west ham,tottenham,1,1,3,1
paul merson,23,arsenal,bournemouth,2,1,2,1
paul merson,23,leicester,chelsea,0,0,2,0
paul merson,23,burnley,crystal palace,1,0,2,1
paul merson,23,west ham,huddersfield,1,4,2,1
paul merson,23,man city,liverpool,4,3,2,1
paul merson,23,stoke,man utd,3,0,2,0
paul merson,23,swansea,newcastle,1,1,1,0
paul merson,23,everton,tottenham,4,0,2,0
